17-08-2019:10:16:14,59 INFO [mylog.py:37] dengji
17-08-2019:10:18:05,535 INFO [mylog.py:37] dengji
17-08-2019:10:19:29,579 INFO [mylog.py:37] dengji
17-08-2019:10:19:36,817 INFO [mylog.py:37] dengji
17-08-2019:10:20:52,38 INFO [mylog.py:37] dengji
17-08-2019:10:20:52,39 ERROR [mylog.py:38] cuowu
17-08-2019:10:42:05,882 INFO [test_2.py:22] 账号是  
17-08-2019:10:42:17,997 INFO [test_2.py:29] 密码是  
17-08-2019:10:42:26,673 INFO [test_2.py:34] 点击登录
17-08-2019:10:42:26,933 INFO [test_2.py:55] 登录失败，断言成功
17-08-2019:10:42:39,34 INFO [test_2.py:22] 账号是1147426361
17-08-2019:10:42:51,384 INFO [test_2.py:29] 密码是 
17-08-2019:10:42:59,940 INFO [test_2.py:34] 点击登录
17-08-2019:10:43:00,438 INFO [test_2.py:60] 登录失败，断言成功
17-08-2019:10:43:00,438 INFO [test_2.py:61] 登录失败，单击确定
17-08-2019:10:43:12,515 INFO [test_2.py:22] 账号是 
17-08-2019:10:43:25,706 INFO [test_2.py:29] 密码是Fei820515
17-08-2019:10:43:34,83 INFO [test_2.py:34] 点击登录
17-08-2019:10:43:34,194 INFO [test_2.py:55] 登录失败，断言成功
17-08-2019:10:43:45,599 INFO [test_2.py:22] 账号是1147426361
17-08-2019:10:43:58,623 INFO [test_2.py:29] 密码是bsa820515
17-08-2019:10:44:07,421 INFO [test_2.py:34] 点击登录
17-08-2019:10:44:07,808 INFO [test_2.py:60] 登录失败，断言成功
17-08-2019:10:44:07,808 INFO [test_2.py:61] 登录失败，单击确定
17-08-2019:10:44:19,890 INFO [test_2.py:22] 账号是214762636
17-08-2019:10:44:33,981 INFO [test_2.py:29] 密码是Fei820515
17-08-2019:10:44:42,620 INFO [test_2.py:34] 点击登录
17-08-2019:10:44:43,202 INFO [test_2.py:60] 登录失败，断言成功
17-08-2019:10:44:43,203 INFO [test_2.py:61] 登录失败，单击确定
17-08-2019:10:44:55,170 INFO [test_2.py:22] 账号是1147426361
17-08-2019:10:45:08,486 INFO [test_2.py:29] 密码是Fei820515
17-08-2019:10:45:19,774 INFO [test_2.py:34] 点击登录
17-08-2019:10:45:21,737 INFO [test_2.py:67] 登录成功，断言成功
