18-08-2019:16:05:24,339 INFO [test_1.py:107] 跳转我的收藏，断言成功
18-08-2019:16:05:31,324 INFO [test_1.py:112] 点击评论，进行滑动
18-08-2019:16:05:40,291 INFO [test_1.py:119] 返回我的收藏主面，断言成功
18-08-2019:16:39:27,520 INFO [test_1.py:33] 登录失败，断言成功
18-08-2019:16:42:39,796 INFO [test_1.py:33] 登录失败，断言成功
18-08-2019:16:57:53,791 INFO [test_1.py:40] 登录失败，断言成功
18-08-2019:16:58:10,412 INFO [test_1.py:40] 登录失败，断言成功
18-08-2019:16:58:26,728 INFO [test_1.py:40] 登录失败，断言成功
18-08-2019:16:58:43,735 INFO [test_1.py:40] 登录失败，断言成功
18-08-2019:16:59:00,873 INFO [test_1.py:40] 登录失败，断言成功
18-08-2019:17:04:15,302 INFO [test_1.py:40] 登录失败，断言成功
18-08-2019:17:04:31,745 INFO [test_1.py:40] 登录失败，断言成功
18-08-2019:17:04:48,285 INFO [test_1.py:40] 登录失败，断言成功
18-08-2019:17:05:05,128 INFO [test_1.py:40] 登录失败，断言成功
18-08-2019:17:05:22,130 INFO [test_1.py:40] 登录失败，断言成功
18-08-2019:17:06:59,756 INFO [test_1.py:47] 登录成功，断言成功
