26-08-2019:13:45:26,205 INFO [test_1.py:13] 登录Ta在网址
26-08-2019:13:45:36,737 INFO [test_1.py:23] 密码登录软件
26-08-2019:13:53:00,147 INFO [test_1.py:13] 登录Ta在网址
26-08-2019:13:53:15,786 INFO [test_1.py:23] 密码登录软件
26-08-2019:13:55:52,547 INFO [test_1.py:13] 登录Ta在网址
26-08-2019:13:56:03,108 INFO [test_1.py:23] 密码登录软件
26-08-2019:14:00:33,817 INFO [test_1.py:13] 登录Ta在网址
26-08-2019:14:00:44,405 INFO [test_1.py:23] 密码登录软件
26-08-2019:20:48:23,455 INFO [test_1.py:13] 登录Ta在网址
26-08-2019:20:48:23,523 INFO [test_1.py:16] 断言进入Tazai界面
26-08-2019:20:49:16,866 INFO [test_1.py:13] 登录Ta在网址
26-08-2019:20:50:05,147 INFO [test_1.py:13] 登录Ta在网址
26-08-2019:20:50:05,196 INFO [test_1.py:16] 断言进入Tazai界面成功
26-08-2019:20:57:53,69 INFO [test_1.py:13] 登录Ta在网址
26-08-2019:20:57:53,136 INFO [test_1.py:16] 断言进入Tazai界面成功
26-08-2019:20:58:04,41 INFO [test_1.py:27] 密码登录软件
26-08-2019:20:58:04,103 INFO [test_1.py:30] 断言登录成功
26-08-2019:21:26:48,853 INFO [test_1.py:13] 登录Ta在网址
26-08-2019:21:26:48,908 INFO [test_1.py:16] 断言进入Tazai界面成功
26-08-2019:21:27:00,54 INFO [test_1.py:27] 密码登录软件
26-08-2019:21:27:00,124 INFO [test_1.py:30] 断言登录成功
26-08-2019:21:27:12,495 INFO [test_1.py:37] 点击我们进行滑动
26-08-2019:21:27:24,989 INFO [test_1.py:44] 点击加入我们进行滑动查看
26-08-2019:21:27:43,877 INFO [test_1.py:51] 点击关于公司进行滑动
26-08-2019:21:27:47,197 INFO [test_1.py:55] 点击首页
26-08-2019:21:27:54,852 INFO [test_1.py:67] 编辑主题
26-08-2019:21:27:56,60 INFO [test_1.py:70] 编辑内容
26-08-2019:21:29:38,651 INFO [test_1.py:13] 登录Ta在网址
26-08-2019:21:29:38,716 INFO [test_1.py:16] 断言进入Tazai界面成功
26-08-2019:21:29:49,625 INFO [test_1.py:27] 密码登录软件
26-08-2019:21:29:49,692 INFO [test_1.py:30] 断言登录成功
26-08-2019:21:30:02,138 INFO [test_1.py:37] 点击我们进行滑动
26-08-2019:21:30:14,549 INFO [test_1.py:44] 点击加入我们进行滑动查看
26-08-2019:21:30:33,171 INFO [test_1.py:51] 点击关于公司进行滑动
26-08-2019:21:30:36,574 INFO [test_1.py:55] 点击首页
26-08-2019:21:30:44,235 INFO [test_1.py:67] 编辑主题
26-08-2019:21:30:47,470 INFO [test_1.py:70] 编辑内容
26-08-2019:21:38:48,648 INFO [test_1.py:13] 登录Ta在网址
26-08-2019:21:38:48,752 INFO [test_1.py:16] 断言进入Tazai界面成功
26-08-2019:21:38:59,929 INFO [test_1.py:27] 密码登录软件
26-08-2019:21:39:00,9 INFO [test_1.py:30] 断言登录成功
26-08-2019:21:39:12,502 INFO [test_1.py:37] 点击我们进行滑动
26-08-2019:21:39:24,840 INFO [test_1.py:44] 点击加入我们进行滑动查看
26-08-2019:21:39:43,317 INFO [test_1.py:51] 点击关于公司进行滑动
26-08-2019:21:39:46,947 INFO [test_1.py:55] 点击首页
26-08-2019:21:39:54,580 INFO [test_1.py:67] 编辑主题
26-08-2019:21:39:57,760 INFO [test_1.py:70] 编辑内容
26-08-2019:21:43:33,76 INFO [test_1.py:13] 登录Ta在网址
26-08-2019:21:43:33,131 INFO [test_1.py:16] 断言进入Tazai界面成功
26-08-2019:21:43:43,914 INFO [test_1.py:27] 密码登录软件
26-08-2019:21:43:43,981 INFO [test_1.py:30] 断言登录成功
26-08-2019:21:43:56,408 INFO [test_1.py:37] 点击我们进行滑动
26-08-2019:21:44:08,955 INFO [test_1.py:44] 点击加入我们进行滑动查看
26-08-2019:21:44:27,589 INFO [test_1.py:51] 点击关于公司进行滑动
26-08-2019:21:44:30,997 INFO [test_1.py:55] 点击首页
26-08-2019:21:44:38,642 INFO [test_1.py:67] 编辑主题
26-08-2019:21:44:41,857 INFO [test_1.py:70] 编辑内容
26-08-2019:21:44:46,119 INFO [test_1.py:75] 断言提问发布成功
26-08-2019:21:53:16,710 INFO [test_1.py:13] 登录Ta在网址
26-08-2019:21:53:16,777 INFO [test_1.py:16] 断言进入Tazai界面成功
26-08-2019:21:53:27,345 INFO [test_1.py:27] 密码登录软件
26-08-2019:21:53:27,404 INFO [test_1.py:30] 断言登录成功
26-08-2019:21:53:39,644 INFO [test_1.py:37] 点击我们进行滑动
26-08-2019:21:53:51,931 INFO [test_1.py:44] 点击加入我们进行滑动查看
26-08-2019:21:54:10,330 INFO [test_1.py:51] 点击关于公司进行滑动
26-08-2019:21:54:13,594 INFO [test_1.py:55] 点击首页
26-08-2019:21:54:21,71 INFO [test_1.py:67] 编辑主题
26-08-2019:21:54:24,204 INFO [test_1.py:70] 编辑内容
26-08-2019:21:54:28,381 INFO [test_1.py:75] 断言提问发布成功
